type,replication,C(%),N(%),,,,,,,,
RP,1,1.30092,0.332515152,,,,,,,,
RP,2,1.465,0.395257,,,,,,,,
RP,3,1.30678,0.279389564,,,,,,,,
AHPI,1,0.655337278,0.928836292,,,,,,,,
AHPI,2,0.484352,0.72984,,,,,,,,
AHPI,3,0.441108911,0.610439604,,,,,,,,
AHPII,1,0.154803156,0.667308481,,,,,,,,
AHPII,2,0.1069244,0.4287008,,,,,,,,
AHPII,3,0.104383366,0.31693505,,,,,,,,
Total,1,2.111060434,1.928659925,,,,,,,,
Total,2,2.0562764,1.5537978,,,,,,,,
Total,3,1.852272277,1.206764217,,,,,,,,
,,,,,,,,,,,
